backdrop_path,id,imdb_id,original_language,original_title,overview,poster_path,release_date,runtime,title,video,vote_average,vote_count,year,decade,genres_list,production_companies_name_list,production_countries_list,production_companies_country_list,spoken_languages_list
/uJlc4aNPF3Y8yAqahJTKBwgwPVW.jpg,8773,tt0055747,fr,L'Amour à vingt ans,Love at Twenty unites five directors from five different countries to present their different perspectives on what love really is at the age of 20. The episodes are united with the score of Georges Delerue and still photos of Henri Cartier-Bresson.,/aup2QCYCsyEeQfpboXy0f4uj8aE.jpg,1962-06-22,110,Love at Twenty,False,6.7,41,1962,1960,"['Drama', 'Romance']","['Ulysse Productions', 'Unitec Films', 'Cinesecolo', 'TOHO', 'Beta Film', 'Film Polski', 'Zespół Filmowy ""Kamera""']","['DE', 'FR', 'IT', 'JP', 'PL']","['', 'NZ', 'IT', 'JP', 'DE', 'PL', '']","['it', 'ja', 'pl', 'fr', 'de']"
/s9rWmLANsVlSV4XmuC0IUcseGzO.jpg,108,tt0108394,fr,Trois couleurs : Bleu,"Julie is haunted by her grief after living through a tragic auto wreck that claimed the life of her composer husband and young daughter. Her initial reaction is to withdraw from her relationships, lock herself in her apartment and suppress her pain. But avoiding human interactions on the bustling streets of Paris proves impossible, and she eventually meets up with Olivier, an old friend who harbors a secret love for her, and who could draw her back to reality.",/33wsWxzsNstI8N7dvuwzFmj1qBd.jpg,1993-08-01,98,Three Colors: Blue,False,7.7,1421,1993,1990,['Drama'],"['France 3 Cinéma', 'CED Productions', 'Miramax']","['FR', 'PL', 'CH']","['FR', '', 'US']","['fr', 'pl']"
/2eBL3wXDZqemW8SJ1RNxqtx6bgJ.jpg,109,tt0111507,fr,Trois couleurs : Blanc,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikołaj to smuggle him back to their homeland.",/fdIet3NSa27gobMbaUml66oCQNT.jpg,1994-01-26,92,Three Colors: White,False,7.482,989,1994,1990,"['Comedy', 'Drama', 'Mystery']","['Le Studio Canal+', 'France 3 Cinéma', 'Eurimages', 'Miramax']","['FR', 'PL']","['FR', 'FR', 'FR', 'US']","['fr', 'hu', 'pl']"
/A9IY3j3Hwf4Q8Q9w5QxSQPYSvCu.jpg,110,tt0111495,fr,Trois couleurs : Rouge,"Valentine, a student model in Geneva, struggles with a possessive boyfriend and a troubled family. When she runs over a dog, she discovers that its owner, a retired judge, is illegally wiretapping and eavesdropping on his neighbors' phone calls. Although Valentine is outraged, she develops a strange bond with the judge – and as the two become closer, she finds herself caught in the middle of events that could change her life.",/JHmsBiX1tjCKqAul1lzC20WcAW.jpg,1994-05-12,100,Three Colors: Red,False,7.957,1160,1994,1990,"['Drama', 'Mystery', 'Romance']","['Zespół Filmowy TOR', 'Le Studio Canal+', 'France 3 Cinéma', 'TSR']","['FR', 'PL', 'CH']","['PL', 'FR', 'FR', 'CH']",['fr']
/63HcRYJI4LKeo8sINlL71ZtlUFY.jpg,147,tt0053198,fr,Les Quatre Cents Coups,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",/12PuU23kkDLvTd0nb8hMlE3oShB.jpg,1959-06-03,99,The 400 Blows,False,8.071,1843,1959,1950,['Drama'],"['Les Films du Carrosse', 'Sédif Productions']",['FR'],"['FR', 'FR']","['en', 'fr']"
/uusNog5m2aCuL53rrKw8RaBnprb.jpg,160,tt0000012,fr,L'arrivée d'un train à La Ciotat,"Likely in June 1897, a group of people are standing along the platform of a railway station in La Ciotat, waiting for a train. One is seen coming, at some distance, and eventually stops at the platform. Doors of the railway-cars open and attendants help passengers off and on.  Popular legend has it that, when this film was shown, the first-night audience fled the café in terror, fearing being run over by the ""approaching"" train. This legend has since been identified as promotional embellishment, though there is evidence to suggest that people were astounded at the capabilities of the Lumières' cinématographe.",/m5HSlaNCzwV95rAriDmT19el5h1.jpg,1897-10-10,1,The Arrival of a Train at La Ciotat,False,7.099,409,1897,1890,['Documentary'],['Lumière'],['FR'],[''],['xx']
/9B3NnLM7Uct4eSB5Th9aqVQa8uT.jpg,166,tt0082100,fr,La Boum,"A thirteen-year-old French girl deals with moving to a new city and school in Paris, while at the same time her parents are getting a divorce.",/9MWrgGzJ3eBemfAaOr9sof206CW.jpg,1980-12-17,110,The Party,False,6.605,1019,1980,1980,"['Drama', 'Romance', 'Comedy']","['Productions Marcel Dassault', 'Gaumont', 'Gaumont International']",['FR'],"['FR', 'FR', 'FR']",['fr']
/3oNDTUxv2lLWMqt5R12A0vM5dBn.jpg,171,tt0083686,fr,La Boum 2,A young French teenage girl after moving to a new city falls in love with a boy and is thinking of having sex with him because her girlfriends have already done it.,/pbkccDoxH1H1VdqWcQYycZxHTIK.jpg,1982-12-08,109,The Party 2,False,6.454,570,1982,1980,"['Comedy', 'Romance', 'Drama']","['Productions Marcel Dassault', 'Gaumont', 'Gaumont International']",['FR'],"['FR', 'FR', 'FR']",['fr']
/2oum8FkgH1AiDWhmhEw8nbtoHdJ.jpg,175,tt0095250,fr,Le Grand Bleu,"Two men answer the call of the ocean in this romantic fantasy-adventure.  Jacques and Enzo are a pair of friends who have been close since childhood, and who share a passion for the dangerous sport of free diving. Professional diver Jacques opted to follow in the footsteps of his father, who died at sea when Jacques was a boy; to the bewilderment of scientists, Jacques harbors a remarkable ability to adjust his heart rate and breathing pattern in the water, so that his vital signs more closely resemble that of dolphins than men.  As Enzo persuades a reluctant Jacques to compete against him in a free diving contest -- determining who can dive deeper and longer without scuba gear -- Jacques meets Johana, a beautiful insurance investigator from America, and he finds that he must choose between his love for her and his love of the sea.",/vbi56h6a1BGjnhq2RnUrcQZs2aV.jpg,1988-05-10,168,The Big Blue,False,7.459,1262,1988,1980,"['Adventure', 'Drama', 'Romance']",['Gaumont'],"['FR', 'IT', 'US']",['FR'],"['en', 'fr', 'it']"
/9Y9K6LeLrMeofOvX7hZW36Aj3OG.jpg,194,tt0211915,fr,Le Fabuleux Destin d'Amélie Poulain,"At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",/oTKduWL2tpIKEmkAqF4mFEAWAsv.jpg,2001-04-25,122,Amélie,False,7.902,10469,2001,2000,"['Comedy', 'Romance']","['France 3 Cinéma', 'Claudie Ossard Productions', 'MMC Independent', 'Tapioca Films', 'Sofica Sofinergie 5', 'Victoires Productions', 'Canal+', 'Filmstiftung Nordrhein-Westfalen', 'Union Générale Cinématographique (UGC)', 'Miramax']","['FR', 'DE']","['FR', '', '', '', '', '', 'FR', 'DE', 'FR', 'US']","['fr', 'ru']"
/sdNPipjZoOJFuTBwH8EyEb5dsKv.jpg,204,tt0046268,fr,Le Salaire de la peur,"In a run-down South American town, four men are paid to drive trucks loaded with nitroglycerin into the jungle through to the oil field. Friendships are tested and rivalries develop as they embark upon the perilous journey.",/dZyZSosIlWcpQkV0f7pXcrV2TQV.jpg,1953-04-22,153,The Wages of Fear,False,8.026,747,1953,1950,"['Drama', 'Thriller', 'Adventure']","['Compagnie Industrielle et Commerciale Cinématographique (CICC)', 'Véra Films', 'Fono Roma', 'Filmsonor']","['FR', 'IT']","['FR', 'FR', 'IT', 'FR']","['fr', 'en', 'es', 'it', 'de']"
/h39p97Pn0b55PV63PislftZslhk.jpg,255,tt0062695,fr,Baisers volés,"The third in a series of films featuring François Truffaut's alter-ego, Antoine Doinel, the story resumes with Antoine being discharged from military service. His sweetheart Christine's father lands Antoine a job as a security guard, which he promptly loses. Stumbling into a position assisting a private detective, Antoine falls for his employers' seductive wife, Fabienne, and finds that he must choose between the older woman and Christine.",/5qHh1Vp2TOOX5IaTVt4wyT8OTnR.jpg,1968-09-04,90,Stolen Kisses,False,7.3,355,1968,1960,"['Comedy', 'Drama', 'Romance']","['Les Films du Carrosse', 'Les Productions Artistes Associés']",['FR'],"['FR', 'FR']",['fr']
/ymtwNtiuZwbYa1Vetp68VOGgrw3.jpg,256,tt1180329,fr,Antoine et Colette,"Now aged 17, Antoine Doinel works in a factory which makes records. At a music concert, he meets a girl his own age, Colette, and falls in love with her. Later, Antoine goes to extraordinary lengths to please his new girlfriend and her parents, but Colette still only regards him as a casual friend. First segment of “Love at Twenty” (1962).",/nfP8J7pv75KOAliIM3RG7h6Zos5.jpg,1962-06-22,30,Antoine and Colette,False,7.2,215,1962,1960,"['Comedy', 'Drama', 'Romance']",['Les Films du Carrosse'],['FR'],['FR'],['fr']
/4MyxINPUlXyvOOGAS91EwNr2AOa.jpg,258,tt0065651,fr,Domicile conjugal,"Parisian everyman Antoine Doinel has married his sweetheart Christine Darbon, and the newlyweds have set up a cozy domestic life of selling flowers and giving violin lessons while Antoine fitfully works on his long-gestating novel. As Christine becomes pregnant with the couple's first child, Antoine finds himself enraptured with a young Japanese beauty. The complications change the course of their relationship forever.",/s9R5wKbrB9SfOG1FzbICbOsssX8.jpg,1970-09-09,97,Bed and Board,False,7.245,216,1970,1970,"['Comedy', 'Drama', 'Romance']","['Valoria Films', 'Fida Cinematografica', 'Les Films du Carrosse']","['FR', 'IT']","['FR', 'IT', 'FR']",['fr']
/7LmhNfSkSkE296AvQbLZK4jgbnp.jpg,259,tt0078771,fr,L'Amour en fuite,"Antoine is now 30, working as a proofreader and getting divorced from his his wife. It being the first ""no-fault"" divorce in France, a media circus erupts, dredging up Antoine's past. Indecisive about his new love with a store clerk, he impulsively takes off with an old flame.",/hEtuFlpeb5ZU5fa5klkKA5Q3G36.jpg,1979-01-24,93,Love on the Run,False,7.1,169,1979,1970,"['Comedy', 'Drama', 'Romance']",['Les Films du Carrosse'],['FR'],['FR'],['fr']
/65VvjEscRHZNCCg63GmRfGU66v9.jpg,266,tt0057345,fr,Le Mépris,"A philistine in the art film business, Jeremy Prokosch is a producer unhappy with the work of his director. Prokosch has hired Fritz Lang to direct an adaptation of ""The Odyssey,"" but when it seems that the legendary filmmaker is making a picture destined to bomb at the box office, he brings in a screenwriter to energize the script. The professional intersects with the personal when a rift develops between the writer and his wife.",/aQUDdxuWQvXMGzZw0VmvGYrPtk9.jpg,1963-10-29,103,Contempt,False,7.14,691,1963,1960,['Drama'],"['Rome Paris Films', 'Les Films Concordia', 'Compagnia Cinematografica Champion']","['FR', 'IT']","['', 'FR', 'IT']","['en', 'fr', 'de', 'it']"
/5VGmkeXybclhOqBaLprigVG9Ucz.jpg,269,tt0053472,fr,À bout de souffle,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he attempts to persuade a girl to run away to Italy with him.",/9Wx0Wdn2EOqeCZU4SP6tlS3LOml.jpg,1960-03-16,90,Breathless,False,7.593,1562,1960,1960,"['Drama', 'Crime']","['Les Films Impéria', 'Les Productions Georges de Beauregard', 'Société Nouvelle de Cinématographie (SNC)']",['FR'],"['FR', 'FR', 'FR']","['fr', 'en']"
/bHePzkyRcMhnab2qZbhj1bCElnf.jpg,300,tt0354899,fr,La Science des rêves,A man entranced by his dreams and imagination is lovestruck with a French woman and feels he can show her his world.,/1qCq228LsNtUseCnNE7Naw6NBUz.jpg,2006-02-11,105,The Science of Sleep,False,7.052,655,2006,2000,"['Comedy', 'Drama', 'Fantasy']","['Partizan Films', 'Gaumont', 'France 3 Cinéma', 'TPS Star', 'Mikado Film', 'Canal+']","['FR', 'IT']","['', 'FR', 'FR', 'FR', 'IT', 'FR']","['en', 'fr', 'es']"
/cxhc4KO48wHgJ5Vqa7v3dFsJSou.jpg,337,tt0329388,fr,Monsieur Ibrahim et les Fleurs du Coran,"Paris, 1960s. Momo, a resolute and independent Jewish teenager who lives with his father, a sullen and depressed man, in a working-class neighborhood, develops a close friendship with Monsieur Ibrahim, an elderly Muslim who owns a small grocery store.",/lS4hx9X5v6cpoCzzQohZs7zD881.jpg,2003-09-17,91,Monsieur Ibrahim,False,7.028,125,2003,2000,['Drama'],"['ARP Sélection', 'France 5']",['FR'],"['FR', 'FR']","['fr', 'tr']"
/qJyv8aRRwPhI5jX98XMmluWEdDq.jpg,349,tt0428430,fr,Crustacés et coquillages,Crustacés et coquillages is a fresh French comedy film with numerous surprise turnarounds and about the tolerance of a family of four. The family spend an idealistic summer vacation together where each of the family members gets involved in a new or old relationship.,/eQPrrzj76pQxmprQ3LpHhriZqlJ.jpg,2005-03-30,93,Cockles and Muscles,False,6.1,28,2005,2000,['Comedy'],['Bac Films'],['FR'],['FR'],['fr']
/viGCwLxupyoaLsa6hrnu1gYrB0B.jpg,406,tt0113247,fr,La Haine,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.",/8rgPyWjYZhsphSSxbXguMnhN7H0.jpg,1995-05-31,98,La Haine,False,8.1,3421,1995,1990,['Drama'],"['Kasso Productions', 'La Sept Cinéma', 'Les Productions Lazennec', 'Canal+', 'StudioCanal']",['FR'],"['FR', 'FR', 'FR', 'FR', 'FR']",['fr']
/3yYNJeR6JynSE3Y1AfVIJQ6g3UX.jpg,427,tt0050706,fr,Mon oncle,"Genial, bumbling Monsieur Hulot loves his top-floor apartment in a grimy corner of the city, and cannot fathom why his sister's family has moved to the suburbs. Their house is an ultra-modern nightmare, which Hulot only visits for the sake of stealing away his rambunctious young nephew. Hulot's sister, however, wants to win him over to her new way of life, and conspires to set him up with a wife and job.",/wH6RyPiXFy8INLbViVkchLVOmBc.jpg,1958-05-10,118,Mon Oncle,False,7.389,452,1958,1950,['Comedy'],"['Gaumont Distribution', 'Specta Films', 'Alter Films', 'Film del Centauro', 'Cady Films', 'Gray Film']","['FR', 'IT']","['', '', 'FR', 'IT', '', 'FR']",['fr']
